sale_ref,customer_id,customer_name,region,sale_date,item,quantity,unit_price,line_total,status,outcome
SO-003702,289,Meridian Medical GmbH,UK & Ireland,2026-05-04,Dock leveller,3,535.64,1606.92,completed,completed
SO-003408,79,Windermere Textiles GmbH,UK & Ireland,2026-05-04,Dock leveller,9,207.66,1868.94,completed,completed
SO-003760,476,Marlowe Textiles Inc,EMEA,2026-05-04,Strapping machine,11,181.71,1998.81,pending,at_risk
SO-003444,73,Silverbrook Textiles Ltd,APAC,2026-05-04,Label printer,20,400.05,8001.00,completed,completed
SO-003747,359,Windermere Ceramics GmbH,UK & Ireland,2026-05-05,Handheld terminal,23,556.31,12795.13,pending,at_risk
SO-003421,130,Foxglove Freight Inc,North America,2026-05-05,Weighing station,22,274.68,6042.96,pending,at_risk
SO-003910,477,Ravensgate Textiles Inc,LATAM,2026-05-05,Shrink wrapper,11,753.06,8283.66,completed,completed
SO-003491,1,Harbourline Logistics Ltd,EMEA,2026-05-05,Weighing station,17,663.78,11284.26,pending,at_risk
SO-003605,15,Copperfield Logistics SA,North America,2026-05-05,Tote bin,6,35.30,211.80,completed,completed
SO-003850,51,Sablewood Analytics SA,EMEA,2026-05-05,Label printer,1,668.30,668.30,completed,completed
SO-003673,2,Cedarcrest Logistics Ltd,LATAM,2026-05-05,Weighing station,24,144.12,3458.88,pending,at_risk
SO-003648,128,Granite Freight Inc,APAC,2026-05-05,Strapping machine,24,245.04,5880.96,completed,completed
SO-003488,51,Sablewood Analytics SA,EMEA,2026-05-05,Cold-chain container,14,433.42,6067.88,completed,completed
SO-003875,495,Copperfield Medical Ltd,North America,2026-05-05,Sorting arm,1,828.47,828.47,completed,completed
SO-003489,1,Harbourline Logistics Ltd,EMEA,2026-05-05,Forklift battery,15,451.57,6773.55,pending,at_risk
SO-003715,300,Northwind Robotics SA,North America,2026-05-05,Weighing station,16,244.79,3916.64,completed,completed
SO-003644,192,Pinehurst Chemicals SA,LATAM,2026-05-05,Shrink wrapper,20,217.40,4348.00,cancelled,at_risk
SO-003842,136,Marlowe Freight BV,EMEA,2026-05-05,Dock leveller,18,203.51,3663.18,completed,completed
SO-003707,119,Windermere Robotics SA,UK & Ireland,2026-05-05,Sorting arm,8,640.41,5123.28,completed,completed
SO-003450,10,Foxglove Logistics GmbH,North America,2026-05-05,Dock leveller,1,547.02,547.02,completed,completed
SO-003865,59,Windermere Analytics Inc,UK & Ireland,2026-05-05,Barcode scanner,16,134.17,2146.72,completed,completed
SO-003521,15,Copperfield Logistics SA,North America,2026-05-05,Tote bin,22,653.09,14367.98,cancelled,at_risk
SO-003830,121,Harbourline Freight SA,EMEA,2026-05-05,Strapping machine,6,428.65,2571.90,completed,completed
SO-003473,147,Kestrel Ceramics GmbH,LATAM,2026-05-05,Barcode scanner,24,38.53,924.72,completed,completed
SO-003810,42,Cedarcrest Analytics GmbH,LATAM,2026-05-05,Cold-chain container,11,693.29,7626.19,completed,completed
SO-003621,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-05,Handheld terminal,22,222.25,4889.50,completed,completed
SO-003533,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-05,Weighing station,9,223.49,2011.41,completed,completed
SO-003490,118,Thistledown Robotics GmbH,APAC,2026-05-05,Shrink wrapper,16,814.45,13031.20,pending,at_risk
SO-003885,72,Pinehurst Textiles Ltd,LATAM,2026-05-06,Tote bin,11,722.45,7946.95,cancelled,at_risk
SO-003570,469,Meridian Textiles SA,UK & Ireland,2026-05-06,Label printer,21,273.41,5741.61,completed,completed
SO-003409,111,Sablewood Robotics Ltd,EMEA,2026-05-06,Tote bin,10,735.85,7358.50,cancelled,at_risk
SO-003632,13,Silverbrook Logistics GmbH,APAC,2026-05-06,Dock leveller,8,206.81,1654.48,completed,completed
SO-003658,1,Harbourline Logistics Ltd,EMEA,2026-05-06,Shrink wrapper,9,218.53,1966.77,completed,completed
SO-003419,289,Meridian Medical GmbH,UK & Ireland,2026-05-06,Forklift battery,20,585.35,11707.00,completed,completed
SO-003604,180,Northwind Chemicals Ltd,North America,2026-05-06,Dock leveller,5,628.27,3141.35,completed,completed
SO-003866,27,Kestrel Foods Inc,LATAM,2026-05-06,Cold-chain container,17,119.13,2025.21,completed,completed
SO-003695,237,Ravensgate Foods Inc,LATAM,2026-05-06,Conveyor belt,21,167.09,3508.89,completed,completed
SO-003512,417,Ravensgate Logistics BV,LATAM,2026-05-06,Pallet rack,13,50.09,651.17,completed,completed
SO-003467,158,Thistledown Ceramics SA,APAC,2026-05-06,Handheld terminal,18,483.12,8696.16,cancelled,at_risk
SO-003669,22,Cedarcrest Foods Inc,LATAM,2026-05-06,Barcode scanner,20,630.91,12618.20,completed,completed
SO-003546,173,Silverbrook Instruments BV,APAC,2026-05-06,Shrink wrapper,22,238.22,5240.84,pending,at_risk
SO-003914,384,Ironvale Chemicals BV,UK & Ireland,2026-05-06,Strapping machine,15,133.99,2009.85,completed,completed
SO-003470,164,Ironvale Instruments Inc,UK & Ireland,2026-05-06,Pallet rack,21,423.14,8885.94,cancelled,at_risk
SO-003881,48,Granite Analytics GmbH,APAC,2026-05-06,Forklift battery,7,173.55,1214.85,completed,completed
SO-003629,171,Sablewood Instruments BV,EMEA,2026-05-06,Forklift battery,5,697.83,3489.15,completed,completed
SO-003514,169,Meridian Instruments BV,UK & Ireland,2026-05-06,Label printer,15,815.17,12227.55,completed,completed
SO-003694,38,Thistledown Foods Ltd,APAC,2026-05-06,Pallet rack,20,303.52,6070.40,completed,completed
SO-003783,12,Pinehurst Logistics GmbH,LATAM,2026-05-06,Forklift battery,9,314.27,2828.43,completed,completed
SO-003601,188,Granite Chemicals GmbH,APAC,2026-05-07,Forklift battery,2,123.92,247.84,completed,completed
SO-003674,331,Sablewood Freight SA,EMEA,2026-05-07,Dock leveller,25,687.03,17175.75,completed,completed
SO-003474,208,Granite Logistics BV,APAC,2026-05-07,Cold-chain container,25,152.39,3809.75,completed,completed
SO-003445,66,Lakeshore Textiles BV,EMEA,2026-05-07,Barcode scanner,21,92.12,1934.52,pending,at_risk
SO-003585,417,Ravensgate Logistics BV,LATAM,2026-05-07,Barcode scanner,11,646.86,7115.46,cancelled,at_risk
SO-003858,6,Lakeshore Logistics Ltd,EMEA,2026-05-07,Strapping machine,9,291.77,2625.93,cancelled,at_risk
SO-003813,199,Windermere Chemicals Inc,UK & Ireland,2026-05-07,Weighing station,14,390.91,5472.74,completed,completed
SO-003614,187,Kestrel Chemicals GmbH,LATAM,2026-05-07,Cold-chain container,15,775.65,11634.75,completed,completed
SO-003718,228,Granite Foods SA,APAC,2026-05-07,Strapping machine,19,844.27,16041.13,pending,at_risk
SO-003876,213,Silverbrook Logistics Ltd,APAC,2026-05-07,Pallet rack,2,609.98,1219.96,completed,completed
SO-003836,293,Silverbrook Medical GmbH,APAC,2026-05-07,Label printer,12,565.47,6785.64,completed,completed
SO-003422,47,Kestrel Analytics GmbH,LATAM,2026-05-07,Dock leveller,23,495.46,11395.58,completed,completed
SO-003454,2,Cedarcrest Logistics Ltd,LATAM,2026-05-07,Safety cage,5,52.26,261.30,completed,completed
SO-003523,235,Copperfield Foods Inc,North America,2026-05-07,Handheld terminal,24,326.08,7825.92,cancelled,at_risk
SO-003602,18,Thistledown Logistics SA,APAC,2026-05-07,Shrink wrapper,3,671.01,2013.03,completed,completed
SO-003483,211,Sablewood Logistics Ltd,EMEA,2026-05-07,Sorting arm,9,908.93,8180.37,pending,at_risk
SO-003527,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-07,Conveyor belt,3,801.25,2403.75,completed,completed
SO-003626,196,Marlowe Chemicals Inc,EMEA,2026-05-07,Label printer,2,911.94,1823.88,completed,completed
SO-003433,1,Harbourline Logistics Ltd,EMEA,2026-05-07,Forklift battery,9,326.75,2940.75,completed,completed
SO-003653,71,Sablewood Textiles Ltd,EMEA,2026-05-07,Conveyor belt,4,643.54,2574.16,completed,completed
SO-003779,65,Summit Textiles BV,North America,2026-05-07,Conveyor belt,5,318.41,1592.05,completed,completed
SO-003652,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-07,Pallet rack,3,670.53,2011.59,cancelled,at_risk
SO-003415,280,Northwind Medical Ltd,North America,2026-05-07,Conveyor belt,16,593.22,9491.52,pending,at_risk
SO-003503,108,Granite Robotics Ltd,APAC,2026-05-07,Forklift battery,4,904.75,3619.00,completed,completed
SO-003841,15,Copperfield Logistics SA,North America,2026-05-08,Weighing station,17,567.31,9644.27,cancelled,at_risk
SO-003478,1,Harbourline Logistics Ltd,EMEA,2026-05-08,Dock leveller,4,604.19,2416.76,completed,completed
SO-003487,231,Sablewood Foods Inc,EMEA,2026-05-08,Barcode scanner,13,676.90,8799.70,pending,at_risk
SO-003477,102,Cedarcrest Robotics BV,LATAM,2026-05-08,Weighing station,3,144.13,432.39,completed,completed
SO-003562,140,Northwind Ceramics Ltd,North America,2026-05-08,Dock leveller,13,23.55,306.15,completed,completed
SO-003610,195,Copperfield Chemicals SA,North America,2026-05-08,Pallet rack,11,490.40,5394.40,completed,completed
SO-003749,14,Alderway Logistics SA,UK & Ireland,2026-05-08,Sorting arm,25,305.40,7635.00,completed,completed
SO-003711,3,Blue Ridge Logistics Ltd,APAC,2026-05-08,Barcode scanner,12,455.72,5468.64,completed,completed
SO-003624,122,Cedarcrest Freight SA,LATAM,2026-05-08,Pallet rack,25,521.51,13037.75,cancelled,at_risk
SO-003551,2,Cedarcrest Logistics Ltd,LATAM,2026-05-08,Handheld terminal,2,617.71,1235.42,completed,completed
SO-003592,242,Cedarcrest Analytics BV,LATAM,2026-05-08,Strapping machine,18,495.29,8915.22,completed,completed
SO-003461,34,Alderway Foods BV,UK & Ireland,2026-05-08,Forklift battery,12,449.97,5399.64,completed,completed
SO-003516,282,Cedarcrest Medical Ltd,LATAM,2026-05-08,Cold-chain container,17,75.01,1275.17,completed,completed
SO-003771,3,Blue Ridge Logistics Ltd,APAC,2026-05-08,Weighing station,22,19.47,428.34,completed,completed
SO-003455,2,Cedarcrest Logistics Ltd,LATAM,2026-05-08,Sorting arm,6,742.66,4455.96,pending,at_risk
SO-003586,8,Granite Logistics GmbH,APAC,2026-05-08,Cold-chain container,12,734.62,8815.44,pending,at_risk
SO-003413,1,Harbourline Logistics Ltd,EMEA,2026-05-08,Sorting arm,14,639.69,8955.66,pending,at_risk
SO-003775,212,Pinehurst Logistics Ltd,LATAM,2026-05-08,Handheld terminal,1,399.34,399.34,pending,at_risk
SO-003493,333,Silverbrook Freight SA,APAC,2026-05-09,Tote bin,19,942.38,17905.22,pending,at_risk
SO-003643,231,Sablewood Foods Inc,EMEA,2026-05-09,Forklift battery,19,116.08,2205.52,completed,completed
SO-003739,154,Alderway Ceramics SA,UK & Ireland,2026-05-09,Barcode scanner,15,243.59,3653.85,completed,completed
SO-003818,368,Granite Instruments SA,APAC,2026-05-09,Safety cage,19,805.24,15299.56,pending,at_risk
SO-003693,218,Thistledown Logistics GmbH,APAC,2026-05-09,Sorting arm,19,939.79,17856.01,completed,completed
SO-003606,243,Blue Ridge Analytics BV,APAC,2026-05-09,Strapping machine,7,80.16,561.12,completed,completed
SO-003540,7,Kestrel Logistics GmbH,LATAM,2026-05-09,Pallet rack,16,191.43,3062.88,cancelled,at_risk
SO-003725,448,Granite Analytics BV,APAC,2026-05-09,Barcode scanner,1,849.49,849.49,completed,completed
SO-003501,1,Harbourline Logistics Ltd,EMEA,2026-05-09,Barcode scanner,2,26.33,52.66,completed,completed
SO-003508,4,Ironvale Logistics Ltd,UK & Ireland,2026-05-09,Strapping machine,9,801.30,7211.70,completed,completed
SO-003646,29,Meridian Foods BV,UK & Ireland,2026-05-09,Dock leveller,22,890.11,19582.42,completed,completed
SO-003480,409,Meridian Logistics Inc,UK & Ireland,2026-05-09,Strapping machine,6,471.50,2829.00,completed,completed
SO-003834,377,Ravensgate Instruments Inc,LATAM,2026-05-09,Pallet rack,10,484.92,4849.20,cancelled,at_risk
SO-003577,19,Windermere Logistics SA,UK & Ireland,2026-05-09,Tote bin,3,671.09,2013.27,completed,completed
SO-003821,1,Harbourline Logistics Ltd,EMEA,2026-05-09,Conveyor belt,22,87.36,1921.92,completed,completed
SO-003537,1,Harbourline Logistics Ltd,EMEA,2026-05-09,Handheld terminal,13,920.66,11968.58,completed,completed
SO-003611,454,Alderway Analytics BV,UK & Ireland,2026-05-10,Conveyor belt,12,697.75,8373.00,cancelled,at_risk
SO-003856,332,Pinehurst Freight SA,LATAM,2026-05-10,Dock leveller,7,941.62,6591.34,completed,completed
SO-003828,483,Blue Ridge Medical BV,APAC,2026-05-10,Dock leveller,4,150.22,600.88,completed,completed
SO-003468,133,Silverbrook Freight BV,APAC,2026-05-10,Safety cage,19,857.31,16288.89,completed,completed
SO-003607,19,Windermere Logistics SA,UK & Ireland,2026-05-10,Handheld terminal,8,656.02,5248.16,completed,completed
SO-003918,393,Silverbrook Chemicals GmbH,APAC,2026-05-10,Pallet rack,19,40.03,760.57,completed,completed
SO-003733,84,Ironvale Medical SA,UK & Ireland,2026-05-10,Handheld terminal,9,881.59,7934.31,cancelled,at_risk
SO-003870,1,Harbourline Logistics Ltd,EMEA,2026-05-10,Dock leveller,21,942.58,19794.18,cancelled,at_risk
SO-003803,306,Lakeshore Robotics Inc,EMEA,2026-05-10,Handheld terminal,4,824.23,3296.92,completed,completed
SO-003571,13,Silverbrook Logistics GmbH,APAC,2026-05-10,Barcode scanner,22,623.13,13708.86,cancelled,at_risk
SO-003824,69,Meridian Textiles BV,UK & Ireland,2026-05-10,Cold-chain container,25,692.94,17323.50,completed,completed
SO-003466,126,Lakeshore Freight Inc,EMEA,2026-05-10,Strapping machine,17,815.48,13863.16,pending,at_risk
SO-003588,25,Summit Foods Inc,North America,2026-05-10,Shrink wrapper,14,558.83,7823.62,completed,completed
SO-003581,151,Sablewood Ceramics GmbH,EMEA,2026-05-10,Sorting arm,7,466.48,3265.36,completed,completed
SO-003814,1,Harbourline Logistics Ltd,EMEA,2026-05-10,Dock leveller,15,188.89,2833.35,completed,completed
SO-003417,21,Harbourline Foods Inc,EMEA,2026-05-10,Barcode scanner,18,418.87,7539.66,completed,completed
SO-003678,443,Blue Ridge Analytics Inc,APAC,2026-05-10,Safety cage,4,40.01,160.04,completed,completed
SO-003456,6,Lakeshore Logistics Ltd,EMEA,2026-05-10,Pallet rack,7,433.73,3036.11,cancelled,at_risk
SO-003612,123,Blue Ridge Freight SA,APAC,2026-05-10,Label printer,13,433.91,5640.83,completed,completed
SO-003609,332,Pinehurst Freight SA,LATAM,2026-05-11,Sorting arm,10,915.98,9159.80,pending,at_risk
SO-003682,98,Thistledown Medical BV,APAC,2026-05-11,Label printer,8,245.94,1967.52,completed,completed
SO-003799,2,Cedarcrest Logistics Ltd,LATAM,2026-05-11,Weighing station,25,56.24,1406.00,completed,completed
SO-003819,260,Northwind Textiles SA,North America,2026-05-11,Sorting arm,20,197.87,3957.40,pending,at_risk
SO-003691,129,Meridian Freight Inc,UK & Ireland,2026-05-11,Handheld terminal,17,735.94,12510.98,completed,completed
SO-003714,226,Lakeshore Foods SA,EMEA,2026-05-11,Shrink wrapper,15,822.70,12340.50,completed,completed
SO-003440,73,Silverbrook Textiles Ltd,APAC,2026-05-11,Safety cage,16,256.29,4100.64,completed,completed
SO-003534,1,Harbourline Logistics Ltd,EMEA,2026-05-11,Dock leveller,10,164.40,1644.00,completed,completed
SO-003541,15,Copperfield Logistics SA,North America,2026-05-11,Conveyor belt,17,625.98,10641.66,completed,completed
SO-003485,157,Ravensgate Ceramics SA,LATAM,2026-05-11,Conveyor belt,11,208.25,2290.75,completed,completed
SO-003904,356,Marlowe Ceramics Ltd,EMEA,2026-05-11,Pallet rack,5,134.13,670.65,completed,completed
SO-003553,12,Pinehurst Logistics GmbH,LATAM,2026-05-11,Sorting arm,4,656.26,2625.04,cancelled,at_risk
SO-003759,440,Northwind Analytics SA,North America,2026-05-11,Tote bin,10,158.85,1588.50,completed,completed
SO-003833,291,Sablewood Medical GmbH,EMEA,2026-05-11,Sorting arm,9,599.01,5391.09,completed,completed
SO-003640,340,Northwind Ceramics Inc,North America,2026-05-11,Label printer,16,708.27,11332.32,cancelled,at_risk
SO-003770,425,Summit Foods Ltd,North America,2026-05-11,Shrink wrapper,21,142.30,2988.30,completed,completed
SO-003909,153,Silverbrook Ceramics GmbH,APAC,2026-05-11,Forklift battery,10,304.70,3047.00,pending,at_risk
SO-003832,337,Ravensgate Freight Inc,LATAM,2026-05-11,Safety cage,8,690.56,5524.48,completed,completed
SO-003720,14,Alderway Logistics SA,UK & Ireland,2026-05-11,Safety cage,21,849.95,17848.95,completed,completed
SO-003668,156,Marlowe Ceramics SA,EMEA,2026-05-11,Label printer,19,860.98,16358.62,completed,completed
SO-003475,50,Foxglove Analytics SA,North America,2026-05-11,Forklift battery,1,186.62,186.62,completed,completed
SO-003462,1,Harbourline Logistics Ltd,EMEA,2026-05-12,Shrink wrapper,13,488.02,6344.26,pending,at_risk
SO-003578,6,Lakeshore Logistics Ltd,EMEA,2026-05-12,Strapping machine,4,674.79,2699.16,completed,completed
SO-003713,3,Blue Ridge Logistics Ltd,APAC,2026-05-12,Forklift battery,14,742.05,10388.70,pending,at_risk
SO-003750,38,Thistledown Foods Ltd,APAC,2026-05-12,Pallet rack,1,758.05,758.05,completed,completed
SO-003665,36,Marlowe Foods Ltd,EMEA,2026-05-12,Sorting arm,16,848.69,13579.04,completed,completed
SO-003772,304,Ironvale Robotics Inc,UK & Ireland,2026-05-12,Dock leveller,23,517.20,11895.60,cancelled,at_risk
SO-003511,75,Copperfield Textiles Ltd,North America,2026-05-12,Sorting arm,12,322.91,3874.92,completed,completed
SO-003572,195,Copperfield Chemicals SA,North America,2026-05-12,Cold-chain container,23,328.31,7551.13,cancelled,at_risk
SO-003721,220,Northwind Foods GmbH,North America,2026-05-12,Sorting arm,22,650.83,14318.26,completed,completed
SO-003685,173,Silverbrook Instruments BV,APAC,2026-05-12,Forklift battery,11,96.25,1058.75,completed,completed
SO-003639,9,Meridian Logistics GmbH,UK & Ireland,2026-05-12,Conveyor belt,15,186.05,2790.75,cancelled,at_risk
SO-003453,1,Harbourline Logistics Ltd,EMEA,2026-05-12,Handheld terminal,4,681.31,2725.24,completed,completed
SO-003439,184,Ironvale Chemicals GmbH,UK & Ireland,2026-05-12,Handheld terminal,15,902.82,13542.30,pending,at_risk
SO-003520,231,Sablewood Foods Inc,EMEA,2026-05-12,Dock leveller,21,170.47,3579.87,completed,completed
SO-003559,5,Summit Logistics Ltd,North America,2026-05-12,Forklift battery,10,664.74,6647.40,completed,completed
SO-003831,326,Lakeshore Freight GmbH,EMEA,2026-05-12,Handheld terminal,7,87.19,610.33,completed,completed
SO-003566,1,Harbourline Logistics Ltd,EMEA,2026-05-12,Safety cage,17,20.32,345.44,completed,completed
SO-003797,443,Blue Ridge Analytics Inc,APAC,2026-05-12,Forklift battery,23,627.63,14435.49,completed,completed
SO-003423,261,Harbourline Textiles SA,EMEA,2026-05-12,Tote bin,24,498.97,11975.28,cancelled,at_risk
SO-003412,56,Marlowe Analytics Inc,EMEA,2026-05-12,Safety cage,13,839.54,10914.02,completed,completed
SO-003532,89,Meridian Medical SA,UK & Ireland,2026-05-12,Shrink wrapper,8,284.89,2279.12,completed,completed
SO-003636,372,Pinehurst Instruments Inc,LATAM,2026-05-12,Safety cage,12,798.91,9586.92,pending,at_risk
SO-003679,261,Harbourline Textiles SA,EMEA,2026-05-12,Sorting arm,5,270.59,1352.95,completed,completed
SO-003843,368,Granite Instruments SA,APAC,2026-05-12,Tote bin,19,230.31,4375.89,completed,completed
SO-003724,54,Alderway Analytics SA,UK & Ireland,2026-05-13,Label printer,25,778.26,19456.50,pending,at_risk
SO-003642,469,Meridian Textiles SA,UK & Ireland,2026-05-13,Cold-chain container,18,328.27,5908.86,completed,completed
SO-003649,120,Northwind Freight SA,North America,2026-05-13,Handheld terminal,25,741.14,18528.50,pending,at_risk
